UserID,Gender,CSIPPA,CSIPBC,CSIPDE,CSIPFG,CSIPHI,CSIPJK,CSIPLM,CSIPNO,CSIPTOT,CSIPPA.ip,CSIPBC.ip,CSIPDE.ip,CSIPFG.ip,CSIPHI.ip,CSIPJK.ip,CSIPLM.ip,CSIPNO.ip
83223580,1,10,11,11,16,13,15,14,9,99,-0.35071113,-0.203043286,-0.203043286,0.535295935,0.092292403,0.387628091,0.239960247,-0.498378974
86955480,0,5,6,1,1,6,7,3,5,34,0.132712187,0.309661769,-0.575086142,-0.575086142,0.309661769,0.486611351,-0.221186978,0.132712187
87404529,1,2,1,1,1,2,12,15,8,42,-0.398727987,-0.521413521,-0.521413521,-0.521413521,-0.398727987,0.828127357,1.196183961,0.33738522
87788450,0,24,24,24,23,23,23,20,22,183,0.404519917,0.404519917,0.404519917,0.044946657,0.044946657,0.044946657,-1.033773122,-0.314626602
90884302,1,5,9,18,23,22,22,24,13,136,-1.257941804,-0.838627869,0.104828484,0.628970902,0.524142418,0.524142418,0.733799386,-0.419313935
91163430,1,0,1,2,2,2,1,5,4,17,-0.448144968,-0.237253218,-0.026361469,-0.026361469,-0.026361469,-0.237253218,0.60631378,0.395422031
92097160,1,7,3,10,5,4,2,6,5,42,0.307265897,-0.395056153,0.834007434,-0.043895128,-0.219475641,-0.570636666,0.131685384,-0.043895128
93720099,1,1,3,12,16,9,4,4,0,49,-0.675956833,-0.412168801,0.774877346,1.302453411,0.379195297,-0.280274785,-0.280274785,-0.80785085
97678829,0,1,2,6,6,14,11,7,5,52,-0.831521841,-0.680336051,-0.075592895,-0.075592895,1.133893419,0.680336051,0.075592895,-0.226778684
99735061,0,2,1,0,2,0,0,2,0,7,0.392046158,0.043560684,-0.304924789,0.392046158,-0.304924789,-0.304924789,0.392046158,-0.304924789
101887777,1,5,4,7,2,4,10,19,9,60,-0.313112146,-0.438357004,-0.062622429,-0.68884672,-0.438357004,0.313112146,1.440315869,0.187867287
102314252,0,0,0,0,0,9,9,10,4,32,-0.603022689,-0.603022689,-0.603022689,-0.603022689,0.753778361,0.753778361,0.904534034,0
105544512,0,0,15,19,21,13,2,1,0,71,-0.861064785,0.594255978,0.982341515,1.176384283,0.40021321,-0.667022016,-0.764043401,-0.861064785
105668891,0,3,3,7,2,7,5,9,2,38,-0.322542974,-0.322542974,0.41469811,-0.506853245,0.41469811,0.046077568,0.783318652,-0.506853245
106584593,1,12,13,14,13,13,14,14,12,105,-0.196630324,-0.021847814,0.152934697,-0.021847814,-0.021847814,0.152934697,0.152934697,-0.196630324
108979247,1,4,7,1,0,2,4,5,6,29,0.080207023,0.721863208,-0.561449161,-0.775334556,-0.347563767,0.080207023,0.294092418,0.507977813
109830591,0,7,9,15,17,14,17,17,4,100,-0.615881762,-0.391924758,0.279946255,0.50390326,0.167967753,0.50390326,0.50390326,-0.951817269
113429004,0,1,1,0,0,7,12,17,11,49,-0.643221342,-0.643221342,-0.768727945,-0.768727945,0.109818278,0.737351294,1.36488431,0.611844691
113473719,0,12,11,23,23,23,19,13,0,124,-0.36944587,-0.475001833,0.791669721,0.791669721,0.791669721,0.36944587,-0.263889907,-1.636117423
114198345,0,1,6,11,12,15,11,14,4,74,-0.919866211,-0.362371538,0.195123136,0.30662207,0.641118874,0.195123136,0.52961994,-0.585369407
114543655,0,16,14,14,12,13,12,12,6,99,0.560288413,0.251163771,0.251163771,-0.05796087,0.096601451,-0.05796087,-0.05796087,-0.985334795
123222523,0,0,3,9,19,20,17,7,1,76,-1.002781647,-0.686113758,-0.052777981,1.002781647,1.108337609,0.791669721,-0.263889907,-0.897225684
125077295,0,8,5,8,1,0,0,2,2,26,0.941795034,0.346977118,0.941795034,-0.446113437,-0.644386076,-0.644386076,-0.247840799,-0.247840799
126306216,1,10,15,18,11,12,10,8,12,96,-0.229415734,0.344123601,0.688247202,-0.114707867,0,-0.229415734,-0.458831468,4.16E-17
131248765,0,2,7,14,21,22,18,17,11,112,-1.376494403,-0.802955069,4.86E-17,0.802955069,0.917662935,0.458831468,0.344123601,-0.344123601
137533173,0,23,19,18,17,15,18,11,17,138,0.739630138,0.225104824,0.096473496,-0.032157832,-0.289420489,0.096473496,-0.803945802,-0.032157832
138532306,1,8,11,16,14,10,9,10,7,85,-0.414482654,0.059211808,0.848702578,0.53290627,-0.098686346,-0.2565845,-0.098686346,-0.572380808
139237071,1,0,1,4,13,8,6,4,3,39,-0.622984118,-0.495192504,-0.111817662,1.038306864,0.399348794,0.143765566,-0.111817662,-0.239609276
142326240,0,2,1,1,3,1,3,8,0,19,-0.081140373,-0.297514699,-0.297514699,0.135233954,-0.297514699,0.135233954,1.217105588,-0.513889026
