UserID,Gender,CSIPPA,CSIPBC,CSIPDE,CSIPFG,CSIPHI,CSIPJK,CSIPLM,CSIPNO,CSIPTOT,CSIPPA.ip,CSIPBC.ip,CSIPDE.ip,CSIPFG.ip,CSIPHI.ip,CSIPJK.ip,CSIPLM.ip,CSIPNO.ip
47224602,1,2,1,11,12,6,3,9,6,50,-0.595484027,-0.735597916,0.665540972,0.805654861,-0.035028472,-0.455370139,0.385313194,-0.035028472
48923280,0,4,0,4,5,13,14,18,13,71,-0.608262256,-1.107349236,-0.608262256,-0.483490511,0.514683448,0.639455193,1.138542172,0.514683448
53792919,,3,4,1,3,3,3,4,1,22,0.061662642,0.308313208,-0.431638491,0.061662642,0.061662642,0.061662642,0.308313208,-0.431638491
59834652,,1,3,16,4,15,13,13,8,73,-0.909914472,-0.685935525,0.76992763,-0.573946052,0.657938157,0.43395921,0.43395921,-0.125988158
60030065,1,0,6,10,5,12,20,16,12,81,-1.142887361,-0.465620777,-0.014109721,-0.578498541,0.211645808,1.11466792,0.663156864,0.211645808
61654127,0,0,0,0,1,4,5,11,1,22,-0.556293911,-0.556293911,-0.556293911,-0.354005216,0.252860869,0.455149564,1.668881733,-0.354005216
62170953,,2,10,15,18,8,3,8,3,67,-0.804072409,0.204959634,0.83560466,1.213991676,-0.047298377,-0.677943403,-0.047298377,-0.677943403
63345635,0,4,2,2,2,4,4,7,4,29,0.088735651,-0.384521154,-0.384521154,-0.384521154,0.088735651,0.088735651,0.798620858,0.088735651
65725593,,0,4,10,12,12,11,13,2,64,-0.894427191,-0.447213595,0.223606798,0.447213595,0.447213595,0.335410197,0.559016994,-0.670820393
67698958,1,5,1,0,0,6,2,1,6,21,0.432825405,-0.296143698,-0.478385973,-0.478385973,0.61506768,-0.113901422,-0.296143698,0.61506768
69246685,0,1,4,14,17,16,9,10,3,74,-1.027743189,-0.654018393,0.591730927,0.965455723,0.840880791,-0.031143733,0.093431199,-0.778593325
71110608,,9,17,12,19,12,13,18,10,110,-0.446966037,0.305818868,-0.164671698,0.494015094,-0.164671698,-0.070573585,0.399916981,-0.352867924
74101214,0,4,1,8,11,11,13,9,5,62,-0.541618609,-0.974913495,0.036107907,0.469402794,0.469402794,0.758266052,0.180539536,-0.39718698
74219125,,1,4,6,19,22,17,12,4,85,-1.013948155,-0.697912367,-0.487221841,0.882266577,1.198302365,0.671576051,0.144849736,-0.697912367
77699825,0,1,3,4,8,2,10,16,7,51,-0.729023019,-0.45775864,-0.32212645,0.220402308,-0.593390829,0.491666687,1.305459824,0.084770118
78746743,1,7,7,19,21,18,14,13,6,105,-0.643013613,-0.643013613,0.616768159,0.826731788,0.511786345,0.091859088,-0.013122727,-0.747995427
80360585,0,4,8,15,19,24,18,11,4,103,-1.009864356,-0.554714223,0.241798508,0.69694864,1.265886305,0.583161107,-0.213351624,-1.009864356
85088140,,0,5,7,9,20,13,11,7,72,-1.171700199,-0.520755644,-0.260377822,6.94E-18,1.432078021,0.520755644,0.260377822,-0.260377822
85612945,,2,6,15,23,21,18,20,5,110,-1.205921314,-0.795394909,0.128289501,0.949342311,0.744079108,0.436184305,0.641447507,-0.89802651
87359720,0,17,10,23,16,4,4,10,10,94,0.573035184,-0.191011728,1.227932538,0.463885625,-0.845909082,-0.845909082,-0.191011728,-0.191011728
91407962,0,3,5,10,8,4,1,6,3,40,-0.338061702,0,0.845154255,0.507092553,-0.169030851,-0.676123404,0.169030851,-0.338061702
94531236,1,0,2,4,11,12,9,7,0,45,-0.718095265,-0.462772504,-0.207449743,0.68617992,0.8138413,0.430857159,0.175534398,-0.718095265
97876056,1,2,11,18,18,6,4,10,6,75,-0.733442905,0.161606064,0.857755262,0.857755262,-0.335643363,-0.534543134,0.062156178,-0.335643363
98174934,1,1,4,10,13,4,4,9,2,47,-0.747928364,-0.287664755,0.632862462,1.09312607,-0.287664755,-0.287664755,0.479441259,-0.594507161
98895263,0,3,6,9,9,13,8,4,0,52,-0.602464076,-0.086066297,0.430331483,0.430331483,1.118861856,0.25819889,-0.430331483,-1.118861856
99830346,,11,4,7,3,1,4,7,5,42,0.979832943,-0.213007161,0.298210026,-0.383412891,-0.724224349,-0.213007161,0.298210026,-0.042601432
100167108,0,1,4,6,13,18,14,24,8,88,-1.139605765,-0.797724035,-0.569802882,0.227921153,0.797724035,0.341881729,1.481487494,-0.341881729
102379062,0,7,10,13,20,23,18,14,9,114,-0.848911799,-0.497637951,-0.146364103,0.673274875,1.024548723,0.43909231,-0.029272821,-0.614729234
103530329,0,2,0,10,12,3,1,13,2,43,-0.442741951,-0.705107552,0.606720452,0.869086053,-0.311559151,-0.573924752,1.000268853,-0.442741951
105247090,,0,1,4,2,5,9,10,3,34,-0.752035724,-0.575086142,-0.044237396,-0.39813656,0.132712187,0.840510515,1.017460097,-0.221186978
113427789,,3,5,15,17,16,11,17,8,92,-0.963981561,-0.73716237,0.396933584,0.623752775,0.510343179,-0.056704798,0.623752775,-0.396933584
126491124,1,3,15,23,16,20,14,12,4,107,-1.173914654,0.183866151,1.089053354,0.297014551,0.749608153,0.07071775,-0.155579051,-1.060766254
129415905,1,2,3,3,0,1,2,1,2,14,0.054635836,0.273179182,0.273179182,-0.382450855,-0.163907509,0.054635836,-0.163907509,0.054635836
131141118,0,0,0,0,1,12,16,17,11,57,-0.826955882,-0.826955882,-0.826955882,-0.710891898,0.565811919,1.030067853,1.146131836,0.449747936
132303320,1,8,9,8,15,10,10,13,4,77,-0.20577968,-0.079146031,-0.20577968,0.680655866,0.047487619,0.047487619,0.427388567,-0.712314278
136070413,0,0,4,11,15,15,8,9,0,62,-1.096701163,-0.530661853,0.459906939,1.02594625,1.02594625,0.035377457,0.176887284,-1.096701163
138647044,0,1,2,0,0,1,3,3,2,12,-0.145864991,0.145864991,-0.437594974,-0.437594974,-0.145864991,0.437594974,0.437594974,0.145864991
140290457,0,1,3,6,8,16,8,11,1,54,-0.843788164,-0.550296629,-0.110059326,0.18343221,1.357398351,0.18343221,0.623669513,-0.843788164
142360626,1,2,8,11,24,10,8,7,4,74,-0.770938577,-0.132920444,0.186088622,1.568461243,0.079752267,-0.132920444,-0.2392568,-0.558265866
152439635,,22,11,16,11,7,6,13,17,103,0.988383491,-0.203092498,0.338487497,-0.203092498,-0.636356494,-0.744672493,0.0135395,0.446803496
153200094,0,3,1,1,0,0,0,4,5,14,0.347524023,-0.208514414,-0.208514414,-0.486533633,-0.486533633,-0.486533633,0.625543242,0.903562461
154577053,0,3,0,3,8,12,13,20,5,64,-0.566138517,-0.905821627,-0.566138517,-2.78E-17,0.452910814,0.566138517,1.358732441,-0.33968311
157124446,1,2,9,15,16,7,4,6,2,61,-0.788745723,0.19280451,1.034133281,1.174354743,-0.087638414,-0.508302799,-0.227859876,-0.788745723
175261205,0,12,5,6,4,3,4,8,5,47,0.845456131,-0.120779447,0.017254207,-0.258813101,-0.396846756,-0.258813101,0.293321515,-0.120779447
180471570,0,0,1,7,2,4,6,17,11,48,-0.738548946,-0.615457455,0.123091491,-0.492365964,-0.246182982,-2.78E-17,1.354006401,0.615457455
185184764,1,6,15,15,20,11,5,15,6,93,-0.607055873,0.364233524,0.364233524,0.903838745,-0.067450653,-0.714976918,0.364233524,-0.607055873
190093588,0,1,0,1,7,12,11,17,6,55,-0.760143715,-0.889529879,-0.760143715,0.016173271,0.663104092,0.533717927,1.310034913,-0.113212894
195885997,0,7,9,12,12,15,9,13,6,83,-0.399528954,-0.162771055,0.192365793,0.192365793,0.547502641,-0.162771055,0.310744742,-0.517907903
198728151,1,4,8,16,23,20,14,14,3,102,-1.02105494,-0.554286968,0.379248978,1.19609293,0.846016951,0.145864991,0.145864991,-1.137746934
201507457,1,0,0,0,2,1,2,5,3,13,-0.504878164,-0.504878164,-0.504878164,0.116510346,-0.194183909,0.116510346,1.04859311,0.427204601
201923709,,2,0,1,0,3,7,13,8,34,-0.375325945,-0.708949008,-0.542137477,-0.708949008,-0.208514414,0.458731711,1.459600898,0.625543242
207289387,0,3,1,1,6,7,4,5,4,31,-0.21885689,-0.719101209,-0.719101209,0.53150959,0.781631749,0.03126527,0.28138743,0.03126527
212071584,,16,11,13,15,16,22,23,11,127,0.01340261,-0.522701801,-0.308260036,-0.093818272,0.01340261,0.656727904,0.763948786,-0.522701801
