UserID.S2,UserID.S1,DOC.S2,DOC.S1,DAYS,CSIPPA.2,CSIPBC.2,CSIPDE.2,CSIPFG.2,CSIPHI.2,CSIPJK.2,CSIPLM.2,CSIPNO.2,CSIPTOT.2,CSIPPA.ip.2,CSIPBC.ip.2,CSIPDE.ip.2,CSIPFG.ip.2,CSIPHI.ip.2,CSIPJK.ip.2,CSIPLM.ip.2,CSIPNO.ip.2,CSIPPA.1,CSIPBC.1,CSIPDE.1,CSIPFG.1,CSIPHI.1,CSIPJK.1,CSIPLM.1,CSIPNO.1,CSIPTOT.1,CSIPPA.ip.1,CSIPBC.ip.1,CSIPDE.ip.1,CSIPFG.ip.1,CSIPHI.ip.1,CSIPJK.ip.1,CSIPLM.ip.1,CSIPNO.ip.1
626082321,1395188491,3/5/2020 21:10,6/25/2019 23:12,253.92,6,3,4,3,9,15,22,14,76,-0.396933584,-0.73716237,-0.623752775,-0.73716237,-0.056704798,0.623752775,1.417619943,0.510343179,12,6,8,9,10,16,20,15,96,0,-0.801783726,-0.534522484,-0.400891863,-0.267261242,0.534522484,1.069044968,0.400891863
642440865,442072470,3/3/2020 16:46,6/26/2019 22:02,250.78,10,4,11,9,14,9,9,16,82,-0.030556617,-0.763915414,0.09166985,-0.152783083,0.458349249,-0.152783083,-0.152783083,0.702802181,7,5,4,9,12,4,5,9,55,0.017378825,-0.260682375,-0.399712975,0.295440025,0.712531824,-0.399712975,-0.260682375,0.295440025
688133406,2030764359,3/3/2020 22:13,6/26/2019 16:18,251.25,7,1,1,0,0,9,19,10,47,0.128637076,-0.557427331,-0.557427331,-0.671771399,-0.671771399,0.357325212,1.500765892,0.47166928,10,1,6,2,1,12,20,11,63,0.23327101,-0.754700328,-0.205827362,-0.644925735,-0.754700328,0.452820197,1.331016942,0.343045604
735459087,809194852,3/3/2020 18:21,7/1/2019 18:30,245.99,3,3,0,6,4,3,6,3,28,-0.09166985,-0.09166985,-0.641688948,0.458349249,0.09166985,-0.09166985,0.458349249,-0.09166985,2,1,0,2,4,2,7,2,20,-0.125988158,-0.377964473,-0.629940788,-0.125988158,0.377964473,-0.125988158,1.133893419,-0.125988158
749793399,1196569173,3/3/2020 18:36,6/26/2019 18:14,251.02,3,12,19,19,12,9,10,2,86,-0.886438204,0.142973904,0.943627766,0.943627766,0.142973904,-0.200163465,-0.085784342,-1.000817327,1,11,18,22,16,14,14,3,99,-1.289127725,-0.155828626,0.637480743,1.090800383,0.410820923,0.184161104,0.184161104,-1.062467905
768874779,2062129514,3/26/2020 23:47,9/2/2019 10:45,206.54,1,3,7,6,11,7,10,3,48,-0.912870929,-0.547722558,0.182574186,2.78E-17,0.912870929,0.182574186,0.730296743,-0.547722558,2,2,4,6,8,9,16,2,49,-0.625543242,-0.625543242,-0.322249549,-0.018955856,0.284337837,0.435984684,1.49751261,-0.625543242
857583318,162375609,3/5/2020 16:29,6/26/2019 9:20,253.3,0,0,0,0,4,2,2,2,10,-0.430331483,-0.430331483,-0.430331483,-0.430331483,0.946729262,0.25819889,0.25819889,0.25819889,0,3,0,0,10,9,10,3,35,-0.660612578,-0.207621096,-0.660612578,-0.660612578,0.849359028,0.698361868,0.849359028,-0.207621096
881481946,472606860,3/5/2020 0:31,7/15/2019 12:15,233.51,0,2,8,10,13,8,12,2,55,-0.87500226,-0.620456148,0.143182188,0.3977283,0.779547468,0.143182188,0.652274412,-0.620456148,0,3,3,10,12,11,13,6,58,-1.154471772,-0.676759314,-0.676759314,0.437903086,0.756378057,0.597140571,0.915615543,-0.199046857
899561168,1065146783,3/3/2020 16:30,6/26/2019 8:11,251.35,4,2,2,4,3,1,3,3,22,0.328975847,-0.197385508,-0.197385508,0.328975847,0.065795169,-0.460566186,0.065795169,0.065795169,2,2,0,2,2,0,0,2,10,0.23214697,0.23214697,-0.386911616,0.23214697,0.23214697,-0.386911616,-0.386911616,0.23214697
899949175,740177485,3/7/2020 14:35,6/29/2019 9:18,252.22,1,2,7,12,14,9,6,0,51,-0.691840691,-0.563126144,0.080446592,0.724019327,0.981448422,0.337875686,-0.048267955,-0.820555238,3,3,12,4,12,7,7,3,51,-0.420695502,-0.420695502,0.701159169,-0.296044983,0.701159169,0.077906574,0.077906574,-0.420695502
1108218660,177580573,3/4/2020 16:08,6/26/2019 10:25,252.24,5,3,2,2,7,8,9,4,40,0,-0.348155312,-0.522232968,-0.522232968,0.348155312,0.522232968,0.696310624,-0.174077656,5,3,5,2,9,10,12,8,54,-0.275198397,-0.58971085,-0.275198397,-0.746967077,0.35382651,0.511082737,0.825595191,0.196570283
1212505895,1153562639,3/4/2020 17:13,6/26/2019 13:51,252.14,10,4,8,6,7,17,23,13,88,-0.104828484,-0.733799386,-0.314485451,-0.524142418,-0.419313935,0.628970902,1.257941804,0.209656967,12,5,5,4,6,9,11,6,58,0.59637658,-0.282494169,-0.282494169,-0.408047133,-0.156941205,0.219717687,0.470823615,-0.156941205
1257284845,1966711868,3/4/2020 21:18,6/27/2019 8:07,251.55,0,2,18,24,19,12,8,1,84,-1.040931354,-0.842658715,0.743522396,1.338340312,0.842658715,0.148704479,-0.247840799,-0.941795034,0,6,15,23,21,17,19,1,102,-1.265933569,-0.670200125,0.223400042,1.0177113,0.819133486,0.421977856,0.620555671,-1.166644661
1322412323,87404529,3/6/2020 10:36,6/26/2019 9:01,254.07,0,0,1,2,15,22,19,9,68,-0.834497179,-0.834497179,-0.736321041,-0.638144902,0.638144902,1.325377873,1.030849457,0.049088069,2,1,1,1,2,12,15,8,42,-0.398727987,-0.521413521,-0.521413521,-0.521413521,-0.398727987,0.828127357,1.196183961,0.33738522
